ISRC,Payee 01,Payee 01 Share,Payee 02,Payee 02 Share,Payee 03,Payee 03 Share
ATR981211824,Rohana Weerasinghe,100,,,,
LKA0W2270096,Namal Udugama,100,,,,
LKA0W2270121,Namal Udugama,100,,,,
ATR981211827,Rohana Weerasinghe,100,,,,
ATR981211828,Rohana Weerasinghe,100,,,,
ATR981211829,Rohana Weerasinghe,100,,,,
LKA0W2270122,Namal Udugama,100,,,,
GX5MX2122501,Nanda Malini,100,,,,
ATR981211832,Rohana Weerasinghe,100,,,,
ATR981211833,Rohana Weerasinghe,100,,,,
GX5MX2122725,Nanda Malini,100,,,,
GX5MX2122795,Nanda Malini,100,,,,
LKA0W2212432,W.D. Amaradeva,100,,,,
LKA0W2212543,W.D. Amaradeva,100,,,,
LKA0W2212546,W.D. Amaradeva,100,,,,
ATR981211839,Rohana Weerasinghe,100,,,,
LKA0W2212551,W.D. Amaradeva,100,,,,
LKA0W2212555,W.D. Amaradeva,100,,,,
LKA0W2212563,W.D. Amaradeva,100,,,,
LKA0W2212571,W.D. Amaradeva,100,,,,
ATR981211863,Rohana Weerasinghe,100,,,,
LKA0W2212582,W.D. Amaradeva,100,,,,
LKA0W2212584,W.D. Amaradeva,100,,,,
ATR981211866,Rohana Weerasinghe,100,,,,
ATR981211867,Rohana Weerasinghe,100,,,,
ATR981211868,Rohana Weerasinghe,100,,,,
ATR981211869,Rohana Weerasinghe,100,,,,
LKA0W2212588,W.D. Amaradeva,100,,,,
ATR981211871,Rohana Weerasinghe,100,,,,
LKA0W2212592,W.D. Amaradeva,100,,,,
ATR981211873,Rohana Weerasinghe,100,,,,
ATR981211874,Rohana Weerasinghe,100,,,,
LKA0W2212596,W.D. Amaradeva,100,,,,
LKA0W2212597,W.D. Amaradeva,100,,,,
ATR981211877,Rohana Weerasinghe,100,,,,
LKA0W2212598,W.D. Amaradeva,100,,,,
LKA0W2212603,W.D. Amaradeva,100,,,,
ATR981211880,Rohana Weerasinghe,100,,,,
LKA0W2212604,W.D. Amaradeva,100,,,,
LKA0W2212606,W.D. Amaradeva,100,,,,
ATR981211887,Rohana Weerasinghe,100,,,,
ATR981211888,Rohana Weerasinghe,100,,,,
ATR981211889,Rohana Weerasinghe,100,,,,
LKA0W2212608,W.D. Amaradeva,100,,,,
ATR981211891,Rohana Weerasinghe,100,,,,
LKA0W2212610,W.D. Amaradeva,100,,,,
LKA0W2212613,W.D. Amaradeva,100,,,,
ATR981211894,Rohana Weerasinghe,100,,,,
LKA0W2212614,W.D. Amaradeva,100,,,,
ATR981211896,Rohana Weerasinghe,100,,,,
LKA0W2212615,W.D. Amaradeva,100,,,,
ATR981211898,Rohana Weerasinghe,100,,,,
LKA0W2212616,W.D. Amaradeva,100,,,,
ATR981211900,Rohana Weerasinghe,100,,,,
LKA0W2212619,W.D. Amaradeva,100,,,,
LKA0W2212626,W.D. Amaradeva,100,,,,
LKA0W2212628,W.D. Amaradeva,100,,,,
ATR981211904,Rohana Weerasinghe,100,,,,
LKA0W2212633,W.D. Amaradeva,100,,,,
ATR981211906,Rohana Weerasinghe,100,,,,
ATR981211907,Rohana Weerasinghe,100,,,,
ATR981211908,Rohana Weerasinghe,100,,,,
LKA0W2212634,W.D. Amaradeva,100,,,,
LKA0W2212641,W.D. Amaradeva,100,,,,
ATR981211911,Rohana Weerasinghe,100,,,,
ATR981211929,Rohana Weerasinghe,100,,,,
LKA0W2212644,W.D. Amaradeva,100,,,,
LKA0W2212645,W.D. Amaradeva,100,,,,
LKA0W2212647,W.D. Amaradeva,100,,,,
ATR981211933,Rohana Weerasinghe,100,,,,
LKA0W2212656,W.D. Amaradeva,100,,,,
ATR981211935,Rohana Weerasinghe,100,,,,
ATR981211936,Rohana Weerasinghe,100,,,,
ATR981211937,Rohana Weerasinghe,100,,,,
ATR981211938,Rohana Weerasinghe,100,,,,
ATR981211939,Rohana Weerasinghe,100,,,,
LKA0W2212752,W.D. Amaradeva,100,,,,
LKA0W2212756,W.D. Amaradeva,100,,,,
ATR981211942,Rohana Weerasinghe,100,,,,
ATR981211943,Rohana Weerasinghe,100,,,,
LKA0W2212757,W.D. Amaradeva,100,,,,
LKA0W2212758,W.D. Amaradeva,100,,,,
ATR981211946,Rohana Weerasinghe,100,,,,
ATR981211947,Rohana Weerasinghe,100,,,,
LKA0W2212759,W.D. Amaradeva,100,,,,
LKA0W2212760,W.D. Amaradeva,100,,,,
ATR981211950,Rohana Weerasinghe,100,,,,
ATR981211951,Rohana Weerasinghe,100,,,,
ATR981211952,Rohana Weerasinghe,100,,,,
ATR981211953,Rohana Weerasinghe,100,,,,
LKA0W2212791,W.D. Amaradeva,100,,,,
ATR981211987,Rohana Weerasinghe,100,,,,
ATR981211988,Rohana Weerasinghe,100,,,,
LKA0W2212793,W.D. Amaradeva,100,,,,
LKA0W2212794,W.D. Amaradeva,100,,,,
LKA0W2212797,W.D. Amaradeva,100,,,,
ATR981211992,Rohana Weerasinghe,100,,,,
LKA0W2212803,W.D. Amaradeva,100,,,,
ATR981211994,Rohana Weerasinghe,100,,,,
LKA0W2212804,W.D. Amaradeva,100,,,,
ATR981211996,Rohana Weerasinghe,100,,,,
LKA0W2212806,W.D. Amaradeva,100,,,,
ATR981211998,Rohana Weerasinghe,100,,,,
LKA0W2212810,W.D. Amaradeva,100,,,,
ATR981212000,Rohana Weerasinghe,100,,,,
LKA0W2300210,W.D. Amaradeva,100,,,,
ATR981212002,Rohana Weerasinghe,100,,,,
ATR981212003,Rohana Weerasinghe,100,,,,
ATR981212004,Rohana Weerasinghe,100,,,,
ATR981212005,Rohana Weerasinghe,100,,,,
QZDA72015557,Ranura Perera,100,,,,
ATR981212007,Rohana Weerasinghe,100,,,,
ATR981212008,Rohana Weerasinghe,100,,,,
LKA0W2213667,Namal Udugama,100,,,,
ATR981202321,Rohana Weerasinghe,100,,,,
ATR981212011,Rohana Weerasinghe,100,,,,
ATR981212012,Rohana Weerasinghe,100,,,,
ATR981202322,Rohana Weerasinghe,100,,,,
ATR981212014,Rohana Weerasinghe,100,,,,
ATR981212015,Rohana Weerasinghe,100,,,,
ATR981202323,Rohana Weerasinghe,100,,,,
ATR981212017,Rohana Weerasinghe,100,,,,
ATR981202324,Rohana Weerasinghe,100,,,,
ATR981202326,Rohana Weerasinghe,100,,,,
ATR981212020,Rohana Weerasinghe,100,,,,
ATR981202327,Rohana Weerasinghe,100,,,,
ATR981212022,Rohana Weerasinghe,100,,,,
ATR981212023,Rohana Weerasinghe,100,,,,
ATR981202328,Rohana Weerasinghe,100,,,,
ATR981202330,Rohana Weerasinghe,100,,,,
ATR981212026,Rohana Weerasinghe,100,,,,
ATR981202332,Rohana Weerasinghe,100,,,,
ATR981212028,Rohana Weerasinghe,100,,,,
ATR981212029,Rohana Weerasinghe,100,,,,
ATR981202333,Rohana Weerasinghe,100,,,,
ATR981212031,Rohana Weerasinghe,100,,,,
ATR981202334,Rohana Weerasinghe,100,,,,
ATR981212033,Rohana Weerasinghe,100,,,,
ATR981212034,Rohana Weerasinghe,100,,,,
ATR981212035,Rohana Weerasinghe,100,,,,
ATR981212100,Rohana Weerasinghe,100,,,,
ATR981212101,Rohana Weerasinghe,100,,,,
